start new simulation
TRONROUT0000000073486960 capacity : 103.45650914546405
TRONROUT0000002244668071 capacity : 134.1884423418242
TRONROUT0000002223373648 capacity : 121.41754423900535
TRONROUT0000000073476828 capacity : 511.39122657945995
TRONROUT0000000073493395 capacity : 591.9118722473141
TRONROUT0000000073494268 capacity : 1707.7724146883625
TRONROUT0000000073474501 capacity : 2037.3550824466288
TRONROUT0000000073514595 capacity : 3271.2929670084386
TRONROUT0000000073480936 capacity : 106.74349012721899
TRONROUT0000000073494620 capacity : 47.62330382862662
TRONROUT0000000073476704 capacity : 120.23566677279217
TRONROUT0000000073486567 capacity : 6034.78674151574
TRONROUT0000000073494032 capacity : 593.686213840966
TRONROUT0000000073476541 capacity : 1303.261386479274
TRONROUT0000000073486569 capacity : 528.8188507141735
TRONROUT0000000073494618 capacity : 1633.298834100758
TRONROUT0000000073502557 capacity : 44.68445596260899
TRONROUT0000000073494427 capacity : 583.4226482872302
TRONROUT0000000073522396 capacity : 68.12739057459756
TRONROUT0000000073522321 capacity : 424.3625200345919
TRONROUT0000000351086892 capacity : 340.68420860332026
TRONROUT0000000073476686 capacity : 129.3475960696444
TRONROUT0000002223813416 capacity : 346.10324231078846
TRONROUT0000002223817876 capacity : 234.90699482618135
TRONROUT0000002244666807 capacity : 28.006093470732036
TRONROUT0000002223813415 capacity : 520.506955551333
TRONROUT0000002223818349 capacity : 82.56028100867363
TRONROUT0000002223812883 capacity : 885.6598511131597
TRONROUT0000002223814462 capacity : 1460.025826276878
TRONROUT0000002223815152 capacity : 642.8171350279703
TRONROUT0000002223817877 capacity : 24.916539423381014
TRONROUT0000002223817884 capacity : 61.653591001741795
TRONROUT0000002223817885 capacity : 74.83838504623643
TRONROUT0000002223817890 capacity : 83.43563783877761
TRONROUT0000002223818026 capacity : 158.38497403512727
TRONROUT0000002223818053 capacity : 20.51048512397333
TRONROUT0000002223818064 capacity : 893.8546541944635
TRONROUT0000002223818966 capacity : 66.0817675314194
TRONROUT0000002223818967 capacity : 42.781940643892405
TRONROUT0000002223818982 capacity : 30.556975461878302
TRONROUT0000002223818985 capacity : 25.102987869607706
TRONROUT0000002223819221 capacity : 232.85766724884814
TRONROUT0000002223819756 capacity : 410.11150996515653
TRONROUT0000000073544701 capacity : 31.283937302413378
TRONROUT0000000073539929 capacity : 181.34727710222927
TRONROUT0000000222415708 capacity : 527.5518887020128
TRONROUT0000000303323426 capacity : 851.6282739051312
TRONROUT0000000223367566 capacity : 329.8064536623143
TRONROUT0000000073540448 capacity : 474.1438648017198
TRONROUT0000000073496361 capacity : 64.91876622370349
TRONROUT0000000073496371 capacity : 43.54346370434779
TRONROUT0000000073496372 capacity : 118.73803097590141
TRONROUT0000002223401756 capacity : 614.3249299896409
TRONROUT0000002223932778 capacity : 409.55246698852966
TRONROUT0000002223932776 capacity : 586.2894982465275
TRONROUT0000002223932779 capacity : 583.8764538168683
TRONROUT0000002223932775 capacity : 331.39957817089004
TRONROUT0000002223933680 capacity : 296.66053553918533
TRONROUT0000002223933666 capacity : 47.618844791623005
TRONROUT0000002223935144 capacity : 394.8550362037103
TRONROUT0000002223936328 capacity : 543.7587865355495
TRONROUT0000002223936354 capacity : 1178.1237419181089
TRONROUT0000002223936492 capacity : 270.79136374461444
TRONROUT0000002223936486 capacity : 191.2448698742759
TRONROUT0000002223936488 capacity : 66.522689529931
TRONROUT0000002244279400 capacity : 201.62987837588472
TRONROUT0000002223935132 capacity : 617.524692149256
TRONROUT0000000223307288 capacity : 110.88011543997807
TRONROUT0000002223936536 capacity : 929.8412345125171
TRONROUT0000000073469917 capacity : 65.8651884994168
TRONROUT0000002244666494 capacity : 997.4499350250887
TRONROUT0000002244667007 capacity : 3827.84412301635
TRONROUT0000002244667258 capacity : 526.7228968717266
TRONROUT0000000073494540 capacity : 1695.2581920220887
TRONROUT0000002244668014 capacity : 1457.5544721534875
TRONROUT0000002244668063 capacity : 358.07964342150575
TRONROUT0000002223454436 capacity : 322.3331658837354
